番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
11,化粧合板,けしょうごうはん,Ván trang trí,,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する",ベトナム語
12,普通合板,ふつうごうはん,Ván thường,,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する",ベトナム語
13,スタイロフォーム,すたいろふぉーむ,Tấm cách nhiệt,,"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る",ベトナム語
14,面木,めんぎ,Dải vát cạnh,,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける",ベトナム語
15,バイブレーター,ばいぶれーたー,Đầm dùi bê tông,,"し          かた
バイブレーターでコンクリートを締め固
める",ベトナム語
16,剥離剤,はくりざい,"Chất chống dính ván khuô n, chất tách khuôn, chất th áo khuôn",,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する",ベトナム語
17,けこみ板,けこみいた,Ván đứng (giữa 2 bậc thang),,"い た         と          つ
けこみ板を取り付ける",ベトナム語
18,目地棒,めじぼう,"Thanh tạo rãnh, thanh nối, thanh liên kết",,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける",ベトナム語
19,コンクリート,こんくりーと,Bê tông,,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む",ベトナム語
20,コンベックス,こんべっくす,Thước dây,,"す ん ぽ う       はか
コンベックスで寸法を測る",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
21,作業用手袋,さぎょうようてぶくろ,Găng tay bảo hộ lao động,,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう",ベトナム語
22,差金,さしがね,"Thước vuông, ê ke (của thợ mộc)",,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る",ベトナム語
23,水平器,すいへいき,"Thước thủy, thước nivo, ống bọt nước",,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする",ベトナム語
24,墨さし,すみさし,Cọ châm mực làm dấu,,"す み                   す み
墨さしを墨つぼにつける",ベトナム語
25,墨つぼ,すみつぼ,Lọ mực (của thợ môc),,"す み                    す み
墨さしを墨つぼにつける",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,丸セパレーター（丸セパ）,まるせぱれーたー（まる                     せぱ）,Thiết bị phân ly,,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する",ベトナム語
2,天端釘,てんばくぎ,Đinh đóng mặt trên,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",ベトナム語
3,けれん,けれん,"Làm sạch, phẳng, nhẵn bề mặt, Chà nhám",,"ひょうめん
コンパネの表面をけれんする",ベトナム語
4,型枠支保工,かたわくしほこう,Hệ chống đỡ ván khuôn,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う",ベトナム語
5,基礎型枠（メタルフォ                   ーム）,きそかたわく（めたるふぉーむ）,Ván khuôn móng (Ván khu ôn kim loại),,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",ベトナム語
6,釘仕舞い,くぎしまい,Nhổ đinh khỏi gỗ phế liệu,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",ベトナム語
7,スラブ天端,すらぶてんば,Mặt trên bê tông,,"て ん   ば
スラブ天端をそろえる",ベトナム語
8,高さ（タッパ）,たかさ（たっぱ）,Độ cao (còn gọi là Tappa),,"た か                                           は か
高さ（タッパ）を測る",ベトナム語
9,建込み,たてこみ,Lắp đặt theo chiều dọc,,"か た わ く        た  て  こ
型枠を建込みする",ベトナム語
10,通り,とおり,"Thẳng, Ngay ngắn","Chỉnh những thứ bị cong, gây vướng, v.v… trở về trạng thái chuẩn","と お                よ
通りを良くする",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
11,蹴上げ,けあげ,Chiều cao một bậc thang,Chiều cao một bậc thang,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",ベトナム語
12,蹴込み,けこみ,Phần lõm vào theo chiều ngang của bậc thang trên v à bậc thang dưới,,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる",ベトナム語
13,工具の手入れ,こうぐのていれ,Bảo dưỡng dụng cụ,,"こ   う   ぐ           て     い
工具の手入れをおこたらない",ベトナム語
14,下げ振り,さげふり,"Quả dọi, dây dọi",,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する",ベトナム語
15,地墨,じずみ,Đánh đấu,,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける",ベトナム語
16,捨てコンクリート,すてこんくりーと,Bê tông lớp tạo phẳng,,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る",ベトナム語
17,はね出し,はねだし,Nhô ra,"Trạng thái nhô ra nhiều về một phía từ nơi có sàn công tác làm chỗ đỡ.
Nếu không biết mà bước lên thì có khả năng rơi ngã, hết sức nguy hiểm.","かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る",ベトナム語
18,はらみ,はらみ,Phình,,"だ  せ  つ ちゅう       か た わ く
コンクリート打設中に型枠のはらみを
か く に ん
確認する",ベトナム語
19,前面,まえつら,Mặt trước,,"ま え つ ら       そ ろ
前面を揃える",ベトナム語
20,養生,ようじょう,Dưỡng hộ,,"だ  せ  つ   ご         ようじょう
コンクリート打設後に養生をおこなう",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
21,レベル,れべる,Độ cân bằng,,"そくりょう
レベルを測量する",ベトナム語
22,割付,わりつけ,"Sự phân bổ, bố trí đều",,"か た わ く         わ          つ
型枠を割り付ける",ベトナム語
23,埋め込み金物,うめこみかなもの,Kim loại đặt trong bê tông,,"か た わ く                                                  う            こ          か な もの
型枠にはあらかじめ埋め込み金物を
と          つ
取り付ける",ベトナム語
24,解体する（バラス）,かいたい,(danh từ) Sự tháo dỡ,,"か た わ く       かいたい
型枠を解体する（バラス）",ベトナム語
25,かぶり寸法,かぶりすんぽう,Độ dày lớp bê tông bảo vệ cốt thép,,"て っ き ん       か た わ く                             す ん ぽ う        か く に ん
鉄筋と型枠のかぶり寸法を確認する",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,異形棒鋼,いけいぼうこう,Cốt thép có gờ (cốt thép gai),Là loại cốt thép được dùng phổ biến ở Nhật,"い  け  い ぼ う こ う       も ち
異形棒鋼を用いる",ベトナム語
2,結束線,けっそくせん,Dây thép buộc,,"け っ そ く せん        て っ き ん       し ば
結束線で鉄筋を縛る",ベトナム語
3,結束工具,けっそくこうぐ,Móc buộc thép,"Còn gọi là ""Hakka""","け っ そ く  こ   う   ぐ        も ち              て っ き ん       し ば
結束工具を用いて鉄筋を縛る",ベトナム語
4,鉄筋切断機,てっきんせつだんき,Máy cắt thép,,"て っ き ん せ  つ  だ  ん  き         て っ き ん       せつだん
鉄筋切断機で鉄筋を切断する",ベトナム語
5,鉄筋曲げ加工機,てっきんまげかこうき,Máy uốn thép,,"て っ き ん   ま           か  こ  う    き          て っ き ん         ま
鉄筋曲げ加工機で鉄筋を曲げる",ベトナム語
6,フック,ふっく,Móc,,"て っ き ん た  ん  ぶ
鉄筋端部にフックをつける",ベトナム語
7,保護帽（ヘルメット）,ほごぼう（へるめっと）,Mũ bảo hộ,,"ほ     ご   ぼ う                             さ ぎ ょ う          と           か
保護帽をかぶり作業に取り掛かる",ベトナム語
8,アンカー,あんかー,Neo,"Gọi tắt của ""Sashikin anka"" (neo cốt th ép chờ). Còn gọi là ""Sashikin""(cốt thé p chờ)","せ  っ  ち
アンカーを設置する",ベトナム語
9,加工場,かこうば,Khu vực gia công,,"げ  ん  ば はんにゅうまえ        か  こ  う   ば           て っ き ん         か  こ  う
現場搬入前に加工場で鉄筋を加工
する",ベトナム語
10,スペーサ―,すぺーさー,Con kê,,"て っ き ん                             あ つ              た も
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
11,ドーナツ,どーなつ,Con kê hình bánh xe,,"かべ        て っ き ん                      あ つ                                                つか
壁の鉄筋かぶり厚さはドーナツを使う",ベトナム語
12,加工配筋図,かこうはいきんず,Bản vẽ bố trí cốt thép gia c ông,,"か  こ  う は い き ん   ず   ど お              く  み  た
加工配筋図通りに組立てる",ベトナム語
13,配筋詳細図,はいきんしょうさいず,Bản vẽ chi tiết bố trí cốt th ép,,"は い き んしょうさい  ず   ど お             く み   た
配筋詳細図通りに組立てる",ベトナム語
14,開口補強筋,かいこうほきょうきん,Cốt thép gia cường lỗ mở,,"ま ど か い こ う   ぶ          か い こ う ほ き ょ う き ん       ぐ み   た
窓開口部は開口補強筋を組立てる",ベトナム語
15,幅止め筋,はばどめきん,Cốt thép đai ngắn nối hai thanh đối diện bụng dầm đ ể giữ khoảng cách chính x ác giữa 2 thanh,,"はば   ど          き ん         と          つ
幅止め筋を取り付ける",ベトナム語
16,差筋,さしきん,Cốt thép chờ,,"さ し き ん
コンクリートに差筋をする",ベトナム語
17,柱主筋,はしらしゅきん,Cột chủ cốt thép,,"はしらしゅきん       ぐ み   た
柱主筋を組立てる",ベトナム語
18,柱配筋,はしらはいきん,Cột cốt thép,,"はしらはいきん         ず   めん        か く に ん
柱配筋を図面で確認する",ベトナム語
19,スラブ筋,すらぶきん,Cốt thép bản mặt,,"き ん        し ょ て い                                   く  み  た
スラブ筋を所定のピッチで組立てる",ベトナム語
20,ベース筋,べーすきん,"Cốt thép nền, móng",,"き ん        く  み  た
ベース筋を組立てる",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
21,帯筋（フープ）,おびきん（ふーぷ）,Cốt thép đai (dạng vòng tr òn),,"おびき ん        く  み  た
帯筋を組立てる",ベトナム語
22,下端筋,したばきん,Cốt thép bên dưới,,"し  た  ば き ん        く  み  た
下端筋を組立てる",ベトナム語
23,上端筋,うわばきん,Cốt thép bên trên,,"う  わ  ば き ん        く  み  た
上端筋を組立てる",ベトナム語
24,主筋,しゅきん,Cốt thép chủ,,"し ゅ き ん        く  み  た
主筋を組立てる",ベトナム語
